scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
120415445,1HK1147851BBLC,1199,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,1,1,0,0,0,0,0,445,0,15/4/2025
120415446,1HK1155113FTRS,1349,10% Off,90,No Discount,100,No Discount,100,2,2,2,1,2,2,2,0,0,0,0,446,0,15/4/2025
120415447,1HK1155113MTW,1349,10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,1,2,0,0,0,0,447,0,15/4/2025
120415448,1HK1155131HKC,999,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,448,0,15/4/2025
120415449,1HK1147851BWHT,959,No Discount,100,No Discount,100,No Discount,100,2,1,2,1,1,1,1,0,0,0,0,449,0,15/4/2025
120415450,1HK1147810BWHT,879,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,1,2,2,0,0,0,0,450,0,15/4/2025
120415451,1HK1134532SCCP,899,10% Off,90,No Discount,100,No Discount,100,0,1,0,2,0,2,0,2,0,2,0,451,0,15/4/2025
120415452,1CS21052790H,399,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,452,0,15/4/2025
120415453,1CS21052990H,399,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,453,0,15/4/2025
120415454,1CS210059001,598,10% Off,90,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,454,0,15/4/2025
120415456,129L47589000,1598,10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,0,0,0,0,0,0,456,0,15/4/2025
120415457,185125215BBK,599,No Discount,100,No Discount,100,No Discount,100,0,2,0,2,0,2,0,0,0,0,0,457,0,15/4/2025
120415458,112W680CC8,349,No Discount,100,No Discount,100,No Discount,100,1,1,1,1,1,1,0,0,0,0,0,458,0,15/4/2025
120415459,108JQ0955,539,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,0,0,0,0,459,0,15/4/2025
120415460,1151012B661001,629,No Discount,100,No Discount,100,No Discount,100,2,1,1,1,1,1,2,1,0,0,0,460,0,15/4/2025
120415461,1151012B607003,869,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,1,1,1,0,0,0,461,0,15/4/2025
120415462,112U1080J13,699,No Discount,100,No Discount,100,No Discount,100,2,2,1,2,1,1,1,1,1,1,0,462,0,15/4/2025
120415463,10K10768903,349,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,1,2,2,2,2,2,2,2,2,463,0,15/4/2025
120415464,10K10793703,489,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,1,2,2,2,2,2,2,2,2,464,0,15/4/2025
120415465,10K10793903,349,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,0,0,1,2,2,2,2,2,2,2,2,465,0,15/4/2025
120415466,108ID8845,999,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,0,0,0,0,0,466,0,15/4/2025
120415467,10K10768303,1189,Buy 2 Get 10% Off,90,No Discount,100,No Discount,100,1,1,1,2,2,2,2,2,2,2,2,467,0,15/4/2025
