scrape_id,shoe_sku,price,discount_1_text,discount_1_weighted,discount_2_text,discount_2_weighted,discount_3_text,discount_3_weighted,uk_size_5,uk_size_5_5,uk_size_6,uk_size_6_5,uk_size_7,uk_size_7_5,uk_size_8,uk_size_8_5,uk_size_9,uk_size_9_5,uk_size_10,page_ranking,website,scrape_time
210415114,1HK1162011BBLC,1499,10% Off,90,No Discount,100,No Discount,100,0,2,2,2,2,2,1,1,1,1,1,114,1,15/4/2025
210415115,150A12778C,419,No Discount,100,No Discount,100,No Discount,100,2,1,0,0,0,0,0,0,0,0,0,115,1,15/4/2025
210415116,150A10621C,539,No Discount,100,No Discount,100,No Discount,100,1,1,1,1,2,2,2,2,0,0,0,116,1,15/4/2025
210415117,112U530CSE,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,1,2,2,1,1,1,0,117,1,15/4/2025
210415118,112U530HFW,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,118,1,15/4/2025
210415119,1HK1141570SSTST,999,No Discount,100,No Discount,100,No Discount,100,0,0,0,0,0,0,0,0,0,0,0,119,1,15/4/2025
210415120,112U740IN2,849,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,120,1,15/4/2025
210415121,112MTTTRSLK,559,No Discount,100,No Discount,100,No Discount,100,0,2,2,2,2,2,2,2,2,2,0,121,1,15/4/2025
210415122,1151203A542022,950,VIP 10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,2,1,1,1,1,1,122,1,15/4/2025
210415123,112U530HFZ,799,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,2,2,2,2,0,0,0,0,0,0,0,123,1,15/4/2025
210415124,1151203A383004,950,VIP 10% Off,90,No Discount,100,No Discount,100,1,2,2,2,2,2,1,1,1,1,1,124,1,15/4/2025
210415125,1151203A542021,950,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,1,1,1,1,1,1,1,1,1,125,1,15/4/2025
210415126,1151203A600250,1090,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,2,2,2,2,2,1,0,1,0,126,1,15/4/2025
210415127,10K39884606,799,No Discount,100,No Discount,100,No Discount,100,1,1,2,1,1,1,1,1,1,1,1,127,1,15/4/2025
210415128,10K39884618,799,No Discount,100,No Discount,100,No Discount,100,2,2,2,2,2,2,2,2,2,2,2,128,1,15/4/2025
210415129,1151203A320022,790,VIP 10% Off,90,No Discount,100,No Discount,100,2,1,1,1,1,1,1,1,1,1,0,129,1,15/4/2025
210415130,108JR8028,899,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,2,2,2,2,1,1,1,1,1,130,1,15/4/2025
210415131,108JS0746,799,VIP 10% Off,90,No Discount,100,No Discount,100,2,2,1,2,2,1,2,1,1,1,1,131,1,15/4/2025
210415132,1151203A320111,790,VIP 10% Off,90,No Discount,100,No Discount,100,1,1,2,2,2,2,1,1,1,1,1,132,1,15/4/2025
210415133,112U574VPG,749,Buy 1 Get 10% Off,90,Buy 2 Get 20% Off,80,No Discount,100,0,2,2,2,2,2,2,2,2,1,0,133,1,15/4/2025
